TRCID	pmid	publicationyear	firstauthor	journalbook	title
1	15840863	2005	Segev DL	JAMA	Kidney paired donation and optimizing the use of live donor organs
2	15996239	2005	Gentry SE	Am J Transplant	A comparison of populations served by kidney paired donation and list paired donation
3	16162194	2005	Segev DL	Am J Transplant	Characterization of waiting times in a simulation of kidney paired donation
4	16162210	2005	Segev DL	Am J Transplant	ABO incompatible high-titer renal transplantation without splenectomy or anti-CD20 treatment
5	16204665	2005	Montgomery RA	JAMA	Clinical results from transplanting incompatible live kidney donor/recipient pairs using kidney paired donation
6	21652471	2005	Ashman TL	Am J Bot	Are flower-visiting ants mutualists or antagonists? A study in a gynodioecious wild strawberry
7	16436973	2006	Stewart ZA	Transplantation	Successful transplantation of cadaveric polycystic liver: case report and review of the literature
8	16858275	2006	Montgomery RA	Transplantation	New options for patients with donor incompatibilities
9	16876670	2006	Montgomery RA	Lancet	Domino paired kidney donation: a strategy to make best use of live non-directed donation
10	16889542	2006	Haas M	Am J Transplant	C4d and C3d staining in biopsies of ABO- and HLA-incompatible renal allografts: correlation with histologic findings
11	17198260	2006	Lee KW	Transplantation	Factors affecting graft survival after liver transplantation from donation after cardiac death donors
12	17227561	2007	Simpkins CE	Am J Transplant	Cold ischemia time and allograft outcomes in live donor renal transplantation: is live donor organ transport feasible?
13	17229067	2007	Haas M	Am J Transplant	Subclinical acute antibody-mediated rejection in positive crossmatch renal allografts
14	17391127	2007	Locke JE	Am J Transplant	The utility of splenectomy as rescue treatment for severe acute antibody mediated rejection
15	17457933	2007	Thuluvath PJ	Liver Transpl	Trends in post-liver transplant survival in patients with hepatitis C between 1991 and 2001 in the United States
16	17464970	2007	Nguyen GC	Hepatology	Racial disparities in the management of hospitalized patients with cirrhosis and complications of portal hypertension: a national study
17	17524076	2007	Locke JE	Am J Transplant	Outcomes of kidneys from donors after cardiac death: implications for allocation and preservation
18	17625983	2007	Nguyen GC	Clin Gastroenterol Hepatol	Nationwide increase in hospitalizations and hepatitis C among inpatients with cirrhosis and sequelae of portal hypertension
19	17723788	2007	Kates SL	Injury	Advances in the medical management of osteoporosis
20	17763380	2007	Segev DL	Liver Transpl	Twenty years of liver transplantation for Budd-Chiari syndrome: a national registry analysis
21	17845570	2007	Gentry SE	Am J Transplant	Expanding kidney paired donation through participation by compatible pairs
22	17845574	2007	Segev DL	Am J Transplant	Association between waiting times for kidney transplantation and rates of live donation
23	17918247	2007	Segev DL	Hepatology	Minimizing risk associated with elderly liver donors by matching to preferred recipients
24	18094366	2008	Segev DL	J Am Soc Nephrol	Obesity impacts access to kidney transplantation
25	18161799	2008	Millwala F	Liver Transpl	Caroli's disease and outcomes after liver transplantation
26	18162088	2008	Gentry SE	Am J Transplant	Working together toward a national kidney paired donation program
27	18181671	2008	Haas M	Arch Pathol Lab Med	Arteriosclerosis in kidneys from healthy live donors: comparison of wedge and needle core perioperative biopsies
28	18294162	2008	Segev DL	Am J Transplant	Effect modification in liver allografts with prolonged cold ischemic time
29	18383081	2008	Segev DL	Liver Transpl	Steroid avoidance in liver transplantation: meta-analysis and meta-regression of randomized trials
30	18408571	2008	Locke JE	Transplantation	Declining outcomes in simultaneous liver-kidney transplantation in the MELD era: ineffective usage of renal allografts
31	18416741	2008	Segev DL	Am J Transplant	Regional and racial disparities in the use of live non-directed kidney donors
32	18522546	2008	Lee KW	Am J Transplant	Factors affecting graft survival after adult/child split-liver transplantation: analysis of the UNOS/OPTN data base
33	18650478	2008	Locke JE	J Am Soc Nephrol	Donor ethnicity influences outcomes following deceased-donor kidney transplantation in black recipients
34	18685336	2008	Singer AL	Curr Opin Organ Transplant	The high-risk donor: viral infections in solid organ transplantation
35	18724216	2008	Segev DL	Transplantation	Utilization and outcomes of kidney paired donation in the United States
36	18828774	2008	Montgomery RA	Am J Transplant	Successful three-way kidney paired donation with cross-country live donor allograft transport
37	18928940	2008	Nguyen GC	Clin Gastroenterol Hepatol	Race is a predictor of in-hospital mortality after cholecystectomy, especially in those with portal hypertension
38	18948816	2008	Segev DL	Ann Surg	Prolonged waiting times for liver transplantation in obese patients
39	19569286	2008	Henderson ML	Pharm Hist	Sister pharmacists and pharmacy organizations, 1900 to 1980
40	18776120	2009	Haas M	J Am Soc Nephrol	C4d deposition without rejection correlates with reduced early scarring in ABO-incompatible renal allografts
41	18976298	2009	Locke JE	Am J Transplant	The use of antibody to complement protein C5 for salvage treatment of severe antibody-mediated rejection
42	18986383	2009	Stewart ZA	Am J Transplant	Histidine-tryptophan-ketoglutarate (HTK) is associated with reduced graft survival in pancreas transplantation
43	19067658	2009	Stewart ZA	Am J Transplant	Histidine-Tryptophan-Ketoglutarate (HTK) is associated with reduced graft survival in deceased donor livers, especially those donated after cardiac death
44	19129311	2009	Segev DL	J Am Soc Nephrol	Age and comorbidities are effect modifiers of gender disparities in renal transplantation
45	19153330	2009	Locke JE	Arch Surg	Renal transplant in HIV-positive patients: long-term outcomes and risk factors for graft loss
46	19191765	2009	Kucirka LM	Am J Transplant	Formal policies and special informed consent are associated with higher provider utilization of CDC high-risk donor organs
47	19191766	2009	Kucirka LM	Am J Transplant	Viral nucleic acid testing (NAT) and OPO-level disposition of high-risk donor organs
48	19260837	2009	Lonze BE	Am J Transplant	Kidney transplantation in previous heart or lung recipients
49	19279341	2009	Rees MA	N Engl J Med	A nonsimultaneous, extended, altruistic-donor chain
50	19298449	2009	Stewart ZA	Am J Transplant	Histidine-tryptophan-ketoglutarate (HTK) is associated with reduced graft survival of deceased donor kidney transplants
51	19384174	2009	Montgomery RA	Transplantation	ABO incompatible renal transplantation: a paradigm ready for broad implementation
52	19422344	2009	Kucirka LM	Am J Transplant	Provider utilization of high-risk donor organs and nucleic acid testing: results of two national surveys
53	19459793	2009	Massie AB	Am J Transplant	The effects of DonorNet 2007 on kidney distribution equity and efficiency
54	19459795	2009	Segev DL	Am J Transplant	Evaluating options for utility-based kidney allocation
55	19519807	2009	Freeman RB	Am J Transplant	Moving kidney allocation forward: the ASTS perspective
56	19535648	2009	Henderson ML	Am J Health Syst Pharm	Sister pharmacists and pharmacy organizations, 1900 to 1980
57	19538492	2009	Kraus ES	Am J Transplant	Subclinical rejection in stable positive crossmatch kidney transplant patients: incidence and correlations
58	19562709	2009	Thuluvath PJ	Liver Transpl	Survival after liver transplantation for hepatocellular carcinoma in the model for end-stage liver disease and pre-model for end-stage liver disease eras and the independent impact of hepatitis C virus
59	19562711	2009	Nguyen GC	Liver Transpl	Volumes of liver transplant and partial hepatectomy procedures are independently associated with lower postoperative mortality following resection for hepatocellular carcinoma
60	19642117	2009	Stewart ZA	Liver Transpl	ABO-incompatible deceased donor liver transplantation in the United States: a national registry analysis
61	19656136	2009	Gentry SE	Am J Transplant	The roles of dominos and nonsimultaneous chains in kidney paired donation
62	19845587	2009	Melancon JK	Am J Transplant	Impact of Medicare coverage on disparities in access to simultaneous pancreas and kidney transplantation
63	19938120	2009	Stewart ZA	Liver Transpl	Increased risk of graft loss from hepatic artery thrombosis after liver transplantation with older donors
64	20006794	2009	Huang E	Semin Nephrol	Kidney transplantation in the elderly
65	20524301	2009	Lonze BE	Clin Transpl	The fate of anti-HLA antibody among renal transplantation recipients treated with bortezomib
66	20121734	2010	Humar A	Am J Transplant	Nucleic acid testing (NAT) of organ donors: is the 'best' test the right test? A consensus conference report
67	20148808	2010	Grams ME	Am J Transplant	Listing for expanded criteria donor kidneys in older adults and those with predicted benefit
68	20157088	2010	Stojadinovic A	Arch Surg	Translational research in surgical disease
69	20199503	2010	Aronsohn A	Am J Transplant	How different conceptions of risk are used in the organ market debate
70	20215610	2010	Segev DL	JAMA	Perioperative mortality and long-term survival following live kidney donation
71	20347513	2010	Kayler LK	Am J Kidney Dis	The impact of nonidentical ABO deceased donor kidney transplant on kidney utilization
72	20353475	2010	Kucirka LM	Am J Transplant	Underutilization of hepatitis C-positive kidneys for hepatitis C-positive recipients
73	20373453	2010	Segev DL	Liver Transpl	The application of paired donation to live donor liver transplantation
74	20420648	2010	Axelrod DA	Am J Transplant	Kidney and pancreas transplantation in the United States, 1999-2008: the changing face of living donation
75	20494953	2010	Hinrichsen GA	Gerontologist	Influencing public policy to improve the lives of older Americans
76	20510798	2010	Makary MA	J Am Coll Surg	Frailty as a predictor of surgical outcomes in older patients
